33	0	0	728	0	On
33	0	1	1	0	the
33	0	2	73	0	other
33	0	3	1665	0	hand
33	0	4	0	0	UNK
33	0	5	16	0	it
33	0	6	7	0	's
33	0	7	2236	0	turning
33	0	8	113	0	out
33	0	9	3	0	to
33	0	10	28	0	be
33	0	11	548	0	another
33	0	12	409	0	very
33	0	13	2284	0	bad
33	0	14	240	0	financial
33	0	15	187	1	week
33	0	16	10	0	
33	0	17	572	0	for
33	0	18	0	0	Asia
33	1	0	11	0	UNK
33	1	1	240	0	The
33	1	2	4605	0	financial
33	1	3	14	0	assistance
33	1	4	1	0	from
33	1	5	1133	0	the
33	1	6	235	0	World
33	1	7	6	0	Bank
33	1	8	1	0	and
33	1	9	464	0	the
33	1	10	4327	0	International
33	1	11	1323	0	Monetary
33	1	12	30	0	Fund
33	1	13	63	0	are
33	1	14	2916	0	not
33	1	15	0	0	helping
33	2	0	37	0	UNK
33	2	1	1	1	In
33	2	2	66	1	the
33	2	3	906	1	last
33	2	4	316	1	twenty
33	2	5	2218	1	four
33	2	6	0	0	hours
33	2	7	1	0	UNK
33	2	8	151	0	the
33	2	9	2	0	value
33	2	10	1	0	of
33	2	11	3723	0	the
33	2	12	48	0	Indonesian
33	2	13	52	0	stock
33	2	14	25	0	market
33	2	15	1573	0	has
33	2	16	21	0	fallen
33	2	17	4335	0	by
33	2	18	193	0	twelve
33	2	19	0	0	percent
33	3	0	11	0	UNK
33	3	1	3723	0	The
33	3	2	5964	0	Indonesian
33	3	3	25	0	currency
33	3	4	979	0	has
33	3	5	906	0	lost
33	3	6	389	0	twenty
33	3	7	193	0	six
33	3	8	2	0	percent
33	3	9	18	0	of
33	3	10	151	0	its
33	3	11	0	0	value
33	4	0	37	0	UNK
33	4	1	6024	0	In
33	4	2	0	0	Singapore
33	4	3	419	0	UNK
33	4	4	658	0	stocks
33	4	5	4	0	hit
33	4	6	256	1	a
33	4	7	31	1	five
33	4	8	632	0	year
33	4	9	0	0	low
33	5	0	37	0	UNK
33	5	1	1	0	In
33	5	2	2217	0	the
33	5	3	0	0	Philippines
33	5	4	4	0	UNK
33	5	5	316	1	a
33	5	6	31	1	four
33	5	7	632	0	year
33	5	8	0	0	low
33	6	0	196	0	UNK
33	6	1	5	0	And
33	6	2	925	0	in
33	6	3	953	0	Hong
33	6	4	0	0	Kong
33	6	5	4	0	UNK
33	6	6	130	0	a
33	6	7	193	0	three
33	6	8	734	0	percent
33	6	9	0	0	drop
33	7	0	1831	0	UNK
33	7	1	226	0	More
33	7	2	5	0	problems
33	7	3	925	0	in
33	7	4	953	0	Hong
33	7	5	10	0	Kong
33	7	6	4	0	for
33	7	7	863	0	a
33	7	8	0	0	place
33	7	9	10	0	UNK
33	7	10	29	0	for
33	7	11	417	0	an
33	7	12	0	0	economy
33	7	13	12	0	UNK
33	7	14	167	0	that
33	7	15	2906	0	many
33	7	16	1802	0	experts
33	7	17	27	0	thought
33	7	18	650	0	was
33	7	19	2693	0	once
33	7	20	0	0	invincible
33	8	0	3035	0	UNK
33	8	1	7	0	Here
33	8	2	819	0	's
33	8	3	7	0	ABC
33	8	4	1026	0	's
33	8	5	3417	0	Jim
33	8	6	0	0	Laurie
33	9	0	2646	0	UNK
33	9	1	12	0	Not
33	9	2	625	0	that
33	9	3	131	0	long
33	9	4	0	0	ago
33	9	5	199	0	UNK
33	9	6	1	0	before
33	9	7	7034	0	the
33	9	8	279	0	Chinese
33	9	9	0	0	takeover
33	9	10	1	0	UNK
33	9	11	168	0	the
33	9	12	35	0	news
33	9	13	619	0	about
33	9	14	1817	0	real
33	9	15	395	0	estate
33	9	16	27	0	here
33	9	17	12	0	was
33	9	18	1	0	that
33	9	19	4363	0	the
33	9	20	27	0	sky
33	9	21	1	0	was
33	9	22	2309	0	the
